Host,Formula,Crystal Category,Dopant Material,Concentration,Dopant Site,Temperature (K) ,Seebeck Coefficient (µV/K),Resistivity(Ω*m),Electrical Conductivity (S/m),Crystal Structure,Microstructure,Experimental Preparation Notes,Paper (hyperlink),,,,,,
Ni2MnGa,Ni2MnGa,,X,X,X,37.6191,0.34,7.3205,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa,,X,X,X,57.9526,-2.07,7.8439,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa,,X,X,X,76.9811,-4.49,8.8013,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa,,X,X,X,99.2721,-6.90,10.5906,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa,,X,X,X,122.2301,-9.65,13.2962,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa,,X,X,X,150.4042,-12.30,17.7853,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa,,X,X,X,187.6785,-14.15,23.922,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa,,X,X,X,218.378,-14.85,27.9066,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa,,X,X,X,252.2286,-12.99,32.3688,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa,,X,X,X,279.5478,-10.99,37.1638,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa,,X,X,X,310.7883,-9.13,44.6853,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa,,X,X,X,347.2552,-7.41,56.0358,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa,,X,X,X,373.2879,-5.84,62.0243,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa,,X,X,X,396.7539,-5.27,62.024,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.97Al0.03,,Al,0.03,Ga,27.8499,-0.09,10.6314,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.97Al0.03,,Al,0.03,Ga,51.448,-2.55,13.7481,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.97Al0.03,,Al,0.03,Ga,71.8187,-5.82,17.6689,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.97Al0.03,,Al,0.03,Ga,98.7373,-9.61,23.918,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.97Al0.03,,Al,0.03,Ga,123.0437,-13.35,29.933,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.97Al0.03,,Al,0.03,Ga,148.6015,-15.86,35.9008,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.97Al0.03,,Al,0.03,Ga,174.1242,-17.57,40.7541,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.97Al0.03,,Al,0.03,Ga,203.5083,-18.03,45.0828,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.97Al0.03,,Al,0.03,Ga,245.9202,-17.98,60.6387,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.97Al0.03,,Al,0.03,Ga,269.4048,-17.83,65.2846,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
