Composition,Temperature,Seebeck Coefficient,Electrical Resistivity
Co2MnSn,50.0,-3.354977399136763,8.399694145012535e-07
Co2MnSn,100.0,-4.672589063778919,9.03088338446992e-07
Co2MnSn,150.0,-5.234692593633818,9.815212436429606e-07
Co2MnSn,200.0,-6.7043258952104425,1.0626692680566503e-06
Co2MnSn,250.0,-10.045594560873425,1.1411070049175664e-06
Co2MnSn,300.0,-15.864399451723976,1.2201952022279977e-06
Co2MnSn,350.0,-24.74916428048085,1.3136934622737882e-06
Co2Mn0.8Ti0.2Sn,50.0,-1.6326929727349349,1.57532553818023e-06
Co2Mn0.8Ti0.2Sn,100.0,-2.7079087903721444,1.623350308757472e-06
Co2Mn0.8Ti0.2Sn,150.0,-3.9498945789288333,1.6806388360920652e-06
Co2Mn0.8Ti0.2Sn,200.0,-5.6183617029906445,1.7365690161495376e-06
Co2Mn0.8Ti0.2Sn,250.0,-7.570607394804116,1.796728661343138e-06
Co2Mn0.8Ti0.2Sn,300.0,-9.517717049266096,1.869446963860976e-06
Co2Mn0.8Ti0.2Sn,350.0,-11.280766518913138,1.9523259589931612e-06
Co2Mn0.6Ti0.4Sn,100.0,-3.8102963902254348,3.887084512297501e-06
Co2Mn0.6Ti0.4Sn,150.0,-6.9670027704404855,4.13295073527493e-06
Co2Mn0.6Ti0.4Sn,200.0,-11.783579821601338,4.461386749475217e-06
Co2Mn0.6Ti0.4Sn,250.0,-20.47265337987441,4.926336620823119e-06
Co2Mn0.6Ti0.4Sn,300.0,-34.68157077400728,5.5215814542191e-06
Co2Mn0.6Ti0.4Sn,350.0,-49.41983928772619,6.072147440052999e-06
Co2Mn0.4Ti0.6Sn,50.0,0.08690234080040535,3.6264090999727e-06
Co2Mn0.4Ti0.6Sn,100.0,0.021364656180545425,3.6950765340166783e-06
Co2Mn0.4Ti0.6Sn,150.0,-0.46520696778042914,3.783661332489912e-06
Co2Mn0.4Ti0.6Sn,200.0,-1.5785097625701323,3.87498234972192e-06
Co2Mn0.4Ti0.6Sn,250.0,-3.2638999574631895,3.963259210223981e-06
Co2Mn0.4Ti0.6Sn,300.0,-5.642153346177499,4.05422034831119e-06
Co2Mn0.4Ti0.6Sn,350.0,-9.445225853530376,4.165211047724533e-06
Co2Mn0.2Ti0.8Sn,50.0,0.3531805608191083,1.363812041258493e-05
Co2Mn0.2Ti0.8Sn,100.0,0.2323207456578905,1.413315757695213e-05
Co2Mn0.2Ti0.8Sn,150.0,-0.4115871676209105,1.4888270856313664e-05
