Composition,Site_X,Site_Y,Site_Z,Temperature,Z_Range_GSvolume_pa,Z_Range_GSbandgap,Y_Range_GSmagmom,Z_Range_AtomicWeight,Z_Range_Number,Y_Range_SpaceGroupNumber,Z_Range_GSmagmom,Z_Mean_GSvolume_pa,Z_Max_NdUnfilled,Z_Mean_NdUnfilled,Z_Range_SpaceGroupNumber,Z_Mean_Electronegativity,Z_Range_NdUnfilled,Z_Range_Row,Y_Mean_GSmagmom,Z_Range_NfValence,Z_Range_NValence,Z_Max_NUnfilled,Y_Max_GSmagmom,Z_Range_NUnfilled,Z_Range_MendeleevNumber,Z_Min_Column,Z_Min_Electronegativity,Z_Min_MendeleevNumber,Z_Mean_NUnfilled,Z_Range_Column,Z_Mean_NpUnfilled,Z_Range_Electronegativity,Y_Range_Electronegativity,Z_Mean_MendeleevNumber,Y_Mean_Electronegativity,Y_Min_Electronegativity,Z_Mean_MeltingT,Z_Mean_SpaceGroupNumber,Z_Max_Electronegativity,Y_Mean_MeltingT,Z_Mean_CovalentRadius,Z_Mean_GSbandgap,Z_Max_MeltingT,Seebeck Coefficient,Electrical Resistivity
Co2MnSn,Co2.000,Mn1.000,Sn1.000,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.000310120689655,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.0,80.0,1.55,1.55,505.08,141.0,1.96,1519.0,139.0,0.0,505.08,-3.354977399136763,8.399694145012535e-07
Co2MnSn,Co2.000,Mn1.000,Sn1.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.000310120689655,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.0,80.0,1.55,1.55,505.08,141.0,1.96,1519.0,139.0,0.0,505.08,-4.672589063778919,9.03088338446992e-07
Co2MnSn,Co2.000,Mn1.000,Sn1.000,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.000310120689655,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.0,80.0,1.55,1.55,505.08,141.0,1.96,1519.0,139.0,0.0,505.08,-5.234692593633818,9.815212436429606e-07
Co2MnSn,Co2.000,Mn1.000,Sn1.000,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.000310120689655,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.0,80.0,1.55,1.55,505.08,141.0,1.96,1519.0,139.0,0.0,505.08,-6.7043258952104425,1.0626692680566503e-06
Co2MnSn,Co2.000,Mn1.000,Sn1.000,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.000310120689655,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.0,80.0,1.55,1.55,505.08,141.0,1.96,1519.0,139.0,0.0,505.08,-10.045594560873424,1.1411070049175664e-06
Co2MnSn,Co2.000,Mn1.000,Sn1.000,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.000310120689655,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.0,80.0,1.55,1.55,505.08,141.0,1.96,1519.0,139.0,0.0,505.08,-15.864399451723976,1.2201952022279977e-06
Co2MnSn,Co2.000,Mn1.000,Sn1.000,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.000310120689655,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.0,80.0,1.55,1.55,505.08,141.0,1.96,1519.0,139.0,0.0,505.08,-24.74916428048085,1.3136934622737882e-06
Co2Mn0.8Ti0.2Sn,Co2.000,Mn0.800Ti0.200,Sn1.000,50.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0002526032183906,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.5480000000000005,1.54,505.08,141.0,1.96,1603.4,139.0,0.0,505.08,-1.6326929727349349,1.57532553818023e-06
Co2Mn0.8Ti0.2Sn,Co2.000,Mn0.800Ti0.200,Sn1.000,100.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0002526032183906,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.5480000000000005,1.54,505.08,141.0,1.96,1603.4,139.0,0.0,505.08,-2.7079087903721444,1.623350308757472e-06
Co2Mn0.8Ti0.2Sn,Co2.000,Mn0.800Ti0.200,Sn1.000,150.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0002526032183906,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.5480000000000005,1.54,505.08,141.0,1.96,1603.4,139.0,0.0,505.08,-3.9498945789288338,1.6806388360920652e-06
Co2Mn0.8Ti0.2Sn,Co2.000,Mn0.800Ti0.200,Sn1.000,200.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0002526032183906,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.5480000000000005,1.54,505.08,141.0,1.96,1603.4,139.0,0.0,505.08,-5.6183617029906445,1.7365690161495376e-06
Co2Mn0.8Ti0.2Sn,Co2.000,Mn0.800Ti0.200,Sn1.000,250.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0002526032183906,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.5480000000000005,1.54,505.08,141.0,1.96,1603.4,139.0,0.0,505.08,-7.570607394804116,1.796728661343138e-06
Co2Mn0.8Ti0.2Sn,Co2.000,Mn0.800Ti0.200,Sn1.000,300.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0002526032183906,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.5480000000000005,1.54,505.08,141.0,1.96,1603.4,139.0,0.0,505.08,-9.517717049266096,1.869446963860976e-06
Co2Mn0.8Ti0.2Sn,Co2.000,Mn0.800Ti0.200,Sn1.000,350.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0002526032183906,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.5480000000000005,1.54,505.08,141.0,1.96,1603.4,139.0,0.0,505.08,-11.280766518913138,1.9523259589931612e-06
Co2Mn0.6Ti0.4Sn,Co2.000,Mn0.600Ti0.400,Sn1.000,100.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0001950857471263,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.546,1.54,505.08,141.0,1.96,1687.8000000000002,139.0,0.0,505.08,-3.810296390225435,3.887084512297501e-06
Co2Mn0.6Ti0.4Sn,Co2.000,Mn0.600Ti0.400,Sn1.000,150.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0001950857471263,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.546,1.54,505.08,141.0,1.96,1687.8000000000002,139.0,0.0,505.08,-6.9670027704404855,4.13295073527493e-06
Co2Mn0.6Ti0.4Sn,Co2.000,Mn0.600Ti0.400,Sn1.000,200.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0001950857471263,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.546,1.54,505.08,141.0,1.96,1687.8000000000002,139.0,0.0,505.08,-11.783579821601338,4.461386749475217e-06
Co2Mn0.6Ti0.4Sn,Co2.000,Mn0.600Ti0.400,Sn1.000,250.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0001950857471263,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.546,1.54,505.08,141.0,1.96,1687.8000000000002,139.0,0.0,505.08,-20.47265337987441,4.926336620823119e-06
Co2Mn0.6Ti0.4Sn,Co2.000,Mn0.600Ti0.400,Sn1.000,300.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0001950857471263,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.546,1.54,505.08,141.0,1.96,1687.8000000000002,139.0,0.0,505.08,-34.68157077400728,5.5215814542191e-06
Co2Mn0.6Ti0.4Sn,Co2.000,Mn0.600Ti0.400,Sn1.000,350.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0001950857471263,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.546,1.54,505.08,141.0,1.96,1687.8000000000002,139.0,0.0,505.08,-49.41983928772619,6.072147440052999e-06
Co2Mn0.4Ti0.6Sn,Co2.000,Mn0.400Ti0.600,Sn1.000,50.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0001375682758619,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.544,1.54,505.08,141.0,1.96,1772.1999999999998,139.0,0.0,505.08,0.0869023408004053,3.6264090999727e-06
Co2Mn0.4Ti0.6Sn,Co2.000,Mn0.400Ti0.600,Sn1.000,100.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0001375682758619,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.544,1.54,505.08,141.0,1.96,1772.1999999999998,139.0,0.0,505.08,0.0213646561805454,3.6950765340166783e-06
Co2Mn0.4Ti0.6Sn,Co2.000,Mn0.400Ti0.600,Sn1.000,150.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0001375682758619,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.544,1.54,505.08,141.0,1.96,1772.1999999999998,139.0,0.0,505.08,-0.4652069677804291,3.783661332489912e-06
Co2Mn0.4Ti0.6Sn,Co2.000,Mn0.400Ti0.600,Sn1.000,200.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0001375682758619,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.544,1.54,505.08,141.0,1.96,1772.1999999999998,139.0,0.0,505.08,-1.5785097625701323,3.87498234972192e-06
Co2Mn0.4Ti0.6Sn,Co2.000,Mn0.400Ti0.600,Sn1.000,250.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0001375682758619,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.544,1.54,505.08,141.0,1.96,1772.1999999999998,139.0,0.0,505.08,-3.2638999574631895,3.963259210223981e-06
Co2Mn0.4Ti0.6Sn,Co2.000,Mn0.400Ti0.600,Sn1.000,300.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0001375682758619,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.544,1.54,505.08,141.0,1.96,1772.1999999999998,139.0,0.0,505.08,-5.642153346177499,4.05422034831119e-06
Co2Mn0.4Ti0.6Sn,Co2.000,Mn0.400Ti0.600,Sn1.000,350.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,0.0001375682758619,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.544,1.54,505.08,141.0,1.96,1772.1999999999998,139.0,0.0,505.08,-9.445225853530376,4.165211047724533e-06
Co2Mn0.2Ti0.8Sn,Co2.000,Mn0.200Ti0.800,Sn1.000,50.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,8.005080459764e-05,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.5420000000000005,1.54,505.08,141.0,1.96,1856.6,139.0,0.0,505.08,0.3531805608191083,1.363812041258493e-05
Co2Mn0.2Ti0.8Sn,Co2.000,Mn0.200Ti0.800,Sn1.000,100.0,0.0,0.0,0.0002875873563216,0.0,0.0,23.0,0.0,33.285,0.0,0.0,0.0,1.96,0.0,0.0,8.005080459764e-05,0.0,0.0,4.0,0.000310120689655,0.0,0.0,14.0,1.96,80.0,4.0,0.0,4.0,0.0,0.01,80.0,1.5420000000000005,1.54,505.08,141.0,1.96,1856.6,139.0,0.0,505.08,0.2323207456578905,1.413315757695213e-05
