Unnamed: 0,sid,DOI,published,projectname,sampleid,samplename,composition,comments,sampleinfo,Temperature,Seebeck coefficient,figureid,Thermal conductivity,Electrical resistivity,Carrier mobility,ZT,Electrical conductivity,Power factor,Hall mobility,Figure of merit Z,Hall movility,Lattice thermal conductivity,thermopower,phonon thermal conductance,Carrier thermal conductivity,phonon contribution,Electronic thermal conductivity,Electronic contribution,hall density,Carrier concentration,Hall coefficient,Calculated Electrical Conductivity,Calculated PF,Figure of merit,Calculated Electrical Conductivity/ Relaxation time,Calculated Seebeck coefficient,Calculated Thermal Conductivity/ Relaxation time,Thermal diffusivity,total thermal conductivity,Lattice contribution,latice contribution,electron thermal conductivity,Figure of merit Zt,Electro Motive Force,Mobility,Nernst coefficient,Electrical conductivity0,Thermopower,Thermoelectric voltage,Thermo gravimetry,Thermal conductance,conductance,TEP,T^(-1),S,Seebeck  coefficient ,Voltage,Max Efficiency,Normalised PL Integrated Intensity,Linewidth,Phonon transmission function,ρ,Lorenz values,magnetoresistance,Resistance,Conductivity,Luminescence lifetime,magnetization_Bohr,inverse susceptibility,Elastic modulus,Coercivity Field,magnetization_per_weight,Resistivity,Remanent Magnetization_Absolute,absolute_magnetization,Open circuit voltage ,Hall concentration,Contact resistivity,Magnetic field strength (H),Magnetization,a.u. Magnetic Moment,conductivity,zero-B thermopower,minority carrier concentration,majority carrier concentration,magnetic susceptibility,Magnetic susceptibility_per_weight,Specific heat,Magnetic susceptibility_volume,inverse magnetic susceptibility_mol,Cp,dc magnetization(mass),Calculated Electrical resistivity,Electrical thermal conductivity,Specific heat capacity,Magnetic susceptibility_per mol,Magnetic susceptibility,Specific heat capacity_per g,Seebeck  coefficient,Mass susceptibility,Inverse magnetic susceptibility,Liquid state thermal conductivity,Lattice+bipolar thermal conductivity,Logρ,ln σ,logσ,Lnρ
26857,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2863,x=0,Co2MnSn,,,50,-3.354977399136763e-06,1906,,8.399694145012535e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26858,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2863,x=0,Co2MnSn,,,100,-4.672589063778919e-06,1906,,9.03088338446992e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26859,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2863,x=0,Co2MnSn,,,150,-5.2346925936338176e-06,1906,,9.815212436429606e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26860,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2863,x=0,Co2MnSn,,,200,-6.704325895210443e-06,1906,,1.0626692680566503e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26861,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2863,x=0,Co2MnSn,,,250,-1.0045594560873425e-05,1906,,1.1411070049175664e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26862,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2863,x=0,Co2MnSn,,,300,-1.5864399451723976e-05,1906,,1.2201952022279977e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26863,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2863,x=0,Co2MnSn,,,350,-2.474916428048085e-05,1906,,1.3136934622737882e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26864,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2864,x=0.2,Co2Mn0.8Ti0.2Sn,,,50,-1.6326929727349349e-06,1906,5.884981539619068,1.57532553818023e-06,,,,,,,,2.9171966003982512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26865,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2864,x=0.2,Co2Mn0.8Ti0.2Sn,,,100,-2.707908790372144e-06,1906,5.982664777565149,1.623350308757472e-06,,,,,,,,2.899449917244911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26866,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2864,x=0.2,Co2Mn0.8Ti0.2Sn,,,150,-3.949894578928833e-06,1906,5.518061093379333,1.6806388360920652e-06,,,,,,,,2.5869771550668292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
